,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
227,"[u'Certificate', u'Certificate', u'BCom: Information Management', u'Diploma: Network Engineering']","[u'3IT', u'Star FM', u'St Michaels Preperatory School', u'Webroot Inc', u'Yamikani Radio', u'Zivo technologies', u'Zivo Technologies']","[u'Web Developer', u'IT Technician', u'Store Manager', u'PHP Developer', u'Assistant Store Manager', u'Technical Business Analyst', u'Business Systems Analyst', u'Mobile Application Developer']","[u'Substitute Teacher', u'Retail Manager', u'Web developer', u'Junior Web Developer']",Radio DJ,"[u'Radio DJ', u'IT Technician']","[u'PC repair', u'mac repair', u'php programming', u'network administration', u'planning and organisational skills', u'web development', u'system security', u'sql database administration', u'negotiating and influence', u'project management', u'Microsoft Office', u'DJing', u'data mining', u'network security', u'visual studio development', u'dreamweaver development', u'financial managenment', u'adobe illustrator', u'corel draw', u'angular js 2', u'css', u'asp.net MVC', u'lavarel development', u'Networking', u'radio presentation', u'Windows / Mac OS installations', u'Hardware repair', u'graphics design', u'HTML', u'IBM Aix administration', u'photoshop', u'ionic 2', u'xamarin development', u'Java programming']",228
228,"[u'Mcts Winforms, Web, Distributed Applications', u'Mcts : Wpf', u'Computer Science']","[u'NDC', u'Redpanda Software', u'UCS Software']","[u'Software Developer', u'UX Designer', u'Programmer']",[u'Delphi Programmer'],Developer,"[u'Software Developer', u'Delphi PHP Developer']","[u'C#  - Wpf, Winforms, Asp', u'Html, Css, Javascript', u'Java With Gwt', u'Delphi', u'PHP', u'Vb Programming']",229
229,[u'Bachelor of Science'],"[u'Credit Direct Limited', u'Realty Point Limited', u'Vencube Resources Limited']","[u'Software Engineer', u'Software Developer C#.NET', u'Software Developer', u'Solution Architect']",[u'IT Developer'],Lead  Business Automation,"[u'IT Solutions Developer', u'ICT Executive']","[u'Software Development', u'.Net C#', u'WCF', u'ASP.NET', u'MVC', u'SQL', u'Software Design Patterns', u'Web Forms']",230
230,[u'B.Sc Computer Science & Information Systems'],"[u'Cozatch Business Solutions', u'Nubian', u'SME IT Solutions', u'Spectiles']","[u'IT Manager', u'Chief Information Officer']",[u'IT Manager'],Director,"[u'Senior Developer', u'Director']","[u'Software development', u'Business Analyst', u'Sage ERP X3', u'ERP Consultant', u'HansaWorld ERP', u'Integration Specialist']",231
231,"[u'Financial Management For Non-Financial Managers', u'Mcdba', u'Certificate In Project Management', u'B.Comm Informatics', u'Matric']","[u'Global Technology', u'IS Partners', u'Metrofile', u'Rand Afrikaans University', u'Sekunjalo IT', u'Transet Housing', u'Vircom / Logical']",[],"[u'Junior Developer and Business Analyst', u'Data Capturer', u'Personal Assistance Receptionist', u'Student Assistant Nursing Department']",Project Manager,"[u'Business Analyst Project Manager', u'Systems Developer and Implementer']","[u'Business Requirements Definition', u'Technical Specifications', u'Olap / Data Warehousing', u'Interviewing And Information Gathering', u'Running Of Workshops', u'Microsoft Project 2000 And 2003', u'Project Management', u'Dimensional Modeling', u'Training', u'Sql 6.5, 7.0, 2000 And 2005', u'Visual Basic 4.0, 5.0, 6.0', u'Sql Analysis Services 2000', u'Sql Data Transformation Services', u'Proclarity 5.0 And 6.0', u'Business Scorecard Manager 2005', u'Visual Basic For Applications', u'Intelligent Apps 3.5', u'Visual Basic .Net', u'Crystal Reports 8.0 And 8.5', u'Business Scorecard Accelerator', u'Training Documentation', u'Sql Analysis Services 2005', u'Asp And Vb Script', u'Com +', u'Microsoft Transactional Server', u'Active Reports', u'Sql Dmo', u'Microsoft Access', u'Sql Server Integration Services', u'Microsoft Sharepoint']",232
232,"[u'Asp Programming', u'Visual Basic Programming (Module 1 Of Mscd)', u'Dtp Graphic Design', u'Html Web Design', u'Matric']","[u'Affinity Logic - Ecommerce Division', u'Learnthings']",[],[],Flash Designer Developer,[u'Web Designer'],"[u'Photoshop 7.0', u'Flash 5 & Mx', u'Flash Actionscript', u'Javascript', u'HTML', u'Dreamweaver', u'ASP', u'Visual Basic 6']",233
233,[u'Business Information Systems'],[u'Roque Pixel'],"[u'Sofware', u'Software Developer', u'Junior Software Developer', u'Graphic Design', u'IT Admin', u'IT Support', u'Software Support', u'Software Programmer', u'Admin Work']",[],Lead Software Developer,[],"[u'Graphic Design', u'Javascript', u'Adobe Illustrator', u'InDesign', u'CSS', u'.NET', u'HTML', u'Adobe Photoshop', u'Corel Draw', u'PHP', u'C#', u'Android']",234
234,"[u'Scrum / Agile Development', u'Sap Abap Programming', u'Java Programming', u'Creative Minds Certified Instructor', u'B Diac Degree In Youth Work    Unisa', u'N. Dip. Mechanical Engineering', u'Matric Certificate']","[u'Camelcase Software', u'Chase Media Systems', u'Equilogic', u'Mastercard', u'Rfid Institute', u'Services Consulting & Training']","[u'Intermediate C# Developer', u'Junior Web Developer', u'WPF', u'Junior Front-End Developer', u'Java / C# Programmer']","[u'Software Developer', u'C# Software Developer', u'SAP ABAP SAP Authorizations']",Software Developer,"[u'Intermediate C# Developer', u'Software Developer']","[u'SQL', u'Entity Frame work 6', u'DevExpress GUI', u'CSLA framework', u'Windows Forms', u'XAML', u'WPF', u'DevExpress Reports', u'MS Office:Word,Excel,PowerPoint,Access,Publisher', u'MS Office: Frontpage. Pastel 5,Internet,E-Mail', u'WPF XAML', u'C# Programming Language', u'LINQ', u'Java: Swing, Threads, Applets, Exception Handling', u'Team Foundation server', u'MVVM', u'Entity Framework 6', u'Scrum / Agile Development', u'ADO.Net', u'Java 2.0 Programming', u'Counselling', u'Java: Object Oriented Analysis & Design', u'Sap Authorizations', u'Java Programming', u'HTML', u'ASP .NET Web Forms']",235
235,[u'Matric'],"[u'JG Business Solutions', u'New Heights Software Development cc', u'Scantrack SA (Pty) Ltd', u'South African Expres Airways', u'Zytek / Accumulo']","[u'IT Manager', u'Software Development Manager', u'Project Manager', u'Developer', u'Consultatnt']","[u'Senior Programmer', u'IT Support Technician']",Owner Consultant,"[u'Software Development Manager IT Manager IT Director', u'Senior Developer and Machine VIsion']","[u'Business Analyst', u'DBMS', u'C#', u'Assembler', u'C++', u'Infrastructure Mangement', u'SQL', u'IT Management', u'Project Management', u'Forecasting', u'Infrastructure requirements', u'Web development', u'Team Management', u'Electronics', u'Budgeting', u'Robotics', u'Machine Vision', u'Heavy current electrical']",236
236,"[u'Oracle Certified Professional  (Ocp )', u'Senior Certificate']","[u'Argility', u'Corporation Bank of India', u'Jikelele Cooperative Business', u'PBT Group', u'PUBLIC INVESTMENT CORPORATION SOC LIMITED', u'Ucs-Software']","[u'ETL Developer', u'Oracle Developer', u'informatica developer', u'Oracle Developer']","[u'ETL SSIS Consultant', u'Informatica ETL Developer', u'Informatica ETL Developer']",ETL Developer,"[u'BI Consultant', u'ETL Developer']","[u'ssis', u'oracle', u'java', u'plsql', u'shell script', u'Oracle Developer', u'Etl Developer', u'Informatica Developer', u'Etl / Ssis Consultant']",237
237,"[u'PhD Bioinformatics', u'Computer Science']","[u'Amazon', u'Rhodes University']","[u'Software Engineer', u'Software Developer', u'Software Development Engineer']",[],Software Development Engineer,[u'Software Developer'],"[u'Django', u'Full stack', u'MVC', u'Web services', u'Web development', u'Python', u'HPC', u'React', u'Knockout.js', u'JavaScript', u'System Design', u'Web APIs', u'REST', u'Cloud Architecture', u'AWS', u'CI', u'C++', u'Bootstrap', u'Java', u'CSS', u'Front-end', u'C#']",238
238,"[u'Sun Certified Business Component Developer For J2e', u'Sun Certified Programmer For The Java 2 Platform 1', u'Object Orientated Design And Programming Course', u'B.Sc Wits University 2002']",[u'Astrolabe Group'],[],[],Developer Team Leader,[],"[u'Java', u'EJB', u'Jboss', u'Eclipse', u'JSP', u'Struts', u'ANT', u'HTML', u'XML', u'SQL']",239
239,"[u'Mba [Oxon]', u'B.Bus.Sci [Finance/Accounting] (Uct)', u'Matric']","[u'Andersen Consulting', u'Bishops College', u'CRT (Consulting, Recruitment & Training)', u'Ernst & Young', u'Gonxtmove.Com', u'IFM Asset Management', u'Jcci: Sandton Region', u'JP Morgan', u'Medscheme Holdings', u'Prudential Portfolio Managers', u'Smuts Hall', u'Standard Bank, Liberty, Other', u'ST Francis Bay Golf Club', u'The Dental Institute', u'Unique Dental', u'University of Cape Town', u'Warburg Dillon Read']",[],"[u'Managing Director', u'Business Development Director', u'Senior Manager Business Development', u'Specialist Consultant', u'Specialist Consultant', u'Euro Programme Manager', u'Operations Consultant', u'Management Accountant & Financial Analyst', u'Financial Analyst', u'Finance Lecturer', u'Student Teacher', u'Sub', u'Golf Club Co-Ordinator', u'Student Council Rag Chairman', u'Junior Audit Clerk']",Chairman Jcci,"[u'Partner', u'Specialist Consultant Facilitator Bus Developer']","[u'Decision Support', u'mis', u'Facilitator', u'Facilitations', u'Recruitment', u'Recruiting', u'Management Consulting', u'Motivating', u'Organisation Development', u'Workshops', u'People Development', u'Problem Solving', u'Valuations', u'Valuing Business', u'Building Systems', u'Public Speaking', u'Business Process Reengineering', u'Business Plans', u'Change Management', u'Consulting', u'Delivery', u'Design', u'Excel Vba', u'Finance', u'Financial', u'Financial Analysis', u'Invoicing', u'Lecturer', u'Management', u'mba', u'Account Management', u'Supply Contract Negotiation', u'Business Development', u'Artificial Intelligence', u'Joint Ventures', u'Networking', u'Negotiation', u'Accountancy', u'Customer Relationship Management', u'Counseling', u'Marketing', u'Brand Management', u'Financial Statements', u'Contract Management', u'Derivatives', u'Foreign Exchange']",240
240,"[u'Oracle Certified Developer', u'Computer  Science']","[u'Leading Investment Banking', u'Prodapt', u'Retail Provider']",[u'Senior Java Developer'],[],Seniour Java Developer,"[u'Seniour Java Developer', u'Technical Dev Lead']","[u'C, Java,C#,Pl/Sql,', u'\uf0fc\tServlets, Jsp, Java Bean, Jstl, Custom Tags, Ejb', u'Struts, Spring, Hibernate2.1,\uf0fc\tMS Access 2000', u'Oracle,Db2,Sql Server']",241
241,[u'BSc Informatics'],"[u'Brolaz South Africa', u'Deezinetech', u'Dental 4 Life (Pty) Ltd', u'Universal Healthcare']","[u'ASP.NET Developer', u'Mobile Developer', u'Vb.Net Developer', u'Senior Delphi Developer', u'Systems Analyst']","[u'Shipping Controller & Developer', u'Entrepreneur']",Systems Analyst,"[u'SEnior Delphi Developer', u'IT Manager']","[u'Delphi Development - Database business applications', u'business analysis', u'Delphi (Android & iOS) Application development', u'systems analysis', u'web application development', u'Delphi', u'ASP .NET', u'VB .NET', u'International Shipping Management', u'MS Office', u'Robotics', u'C# Development', u'Embedded CDevelopment']",242
242,[u'Senior Certificate'],"[u'BUY Direct', u'Evoo Street Cafe', u'Fincapital', u'International Business Intelegent', u'MIBIZ']",[u'Customer Service Consultant'],"[u'Team Leader Call Centre', u'Waiter Manager', u'Admin Clerk']",Smart App Developer,"[u'Portfolio Manager', u'Junior Administrator']","[u'salesteam leader', u'drawing sales reports', u'data capturing', u'computer literate', u'Admin', u'assisting with office work', u'attend to walk in clients', u'filing', u'adminstration', u'answer phone calls', u'book keeping', u'call center assistant manager', u'assisting with managing']",243
243,[u'National Diploma Information Technolgy'],"[u'Infinity Rewards', u'SMC Enterprise', u'Swisstech']","[u'ORACLE DEVELOPER', u'SQL DEVELOPER', u'DEVELOPER', u'SQL DEVELOPER', u'DEVELOPER']",[],Oracle Developer,"[u'SQL Developer', u'Database Developer']","[u'Pl/Sql', u'Sql Server 2008/05', u'Oracle Forms', u'Oracle Designer', u'Toad', u'Java', u'Jasper Report', u'Eclipse', u'Programming Knowledge', u'Tomcat', u'Strategic Thinking', u'Microsoft Excel', u'Hibernate', u'Aqua Data Studio', u'Professionalism', u'Conflict Management', u'Db Programming Knowledge', u'Microsoft Power Point', u'SQL', u'Oracle Report', u'C++', u'Cobol', u'Vb.Net', u'Project Management', u'Microsoft Visio', u'ACL', u'Systems Analysis', u'Pastel Accounting']",244
244,"[u'Jsp And Ejb', u'Vignette Story Server', u'Web Programming Diploma']",[u'Media 24 Naspers'],[],[],Programmer Developer,[],"[u'Front Page 2000', u'HTML', u'Sql Server', u'Vignette Story Server', u'ASP', u'Photoshop', u'tcl', u'Javascript', u'Visual Basic', u'XML', u'Database Design And Sql With Access']",245
245,"[u'B.Tech Information Technology', u'Information Technology']","[u'Beyond Payments', u'Conlog', u'Helium 3 Digital', u'ICE Computers', u'Merlin Gerin T/A Conlog']","[u'Programmer/Developer', u'System Analyst', u'Software Developer C#', u'Tech Lead C#', u'Solutions Architect', u'C# Web Developer', u'Mobile Developer', u'System Analyst', u'Web Designer']","[u'Systems Software Validation Engineer', u'Technician']",Senior Software Engineer/Consultant,"[u'Senior Software Engineer', u'Software Developer']","[u'API', u'Typescript', u'SignalR', u'USSD', u'SQL', u'Objective-C', u'Angular2', u'C#', u'NTServices', u'XML', u'Git', u'HTML5/CSS', u'Web API', u'WCF Web Services', u'ASP.Net', u'Enterprise Architecture', u'Windows Forms', u'AngularJS', u'Dapper', u'N-Tier Architecture', u'Microsoft Office', u'SVN', u'Ionic/Cordova', u'Socket Communication', u'Microsoft Visio', u'CSS', u'Microsoft Message Queuing', u'Microsoft SQL Server 2005/2008R2/2012/2014', u'Entity Framework', u'ASP.Net MVC4', u'TFS', u'MVC', u'Webpack', u'SSRS', u'Good Knowledge Of Information Systems', u'Good Knowledge Of Relational Database(Sql)', u'Web Designing', u'Java Applications', u'Ability To Code In C#, Java, Javascript, V.B. Net)', u'Ability To Solve Critical Problems', u'Knowledge Of Object-Oriented Database(Db4o)', u'Good Knowledge Of Relational Database(Oracle9i)']",246
246,[u'BCOM HONS INFS'],[u'morpheuscommerce'],[u'Software Developer'],[],Software Developer,[],"[u'JQUERY', u'LARAVEL', u'JAVASCRIPT', u'YII', u'MYSQL', u'PHP']",247
247,"[u'Seagate Crystal Reports', u'Msce', u'High School']","[u'AST', u'Levi Strauss', u'London Bridge Software / Fair Isaacs', u'Treoc Holdings']","[u'Project Manager', u'Senior Developer', u'Senior Developer']",[u'Administrator Programmer'],Senior Developer Support,"[u'Epos Support Contractor', u'Software Engineer']","[u'Mysql', u'PHP', u'HTML', u'Apache', u'CSS', u'Javascript', u'Jquery', u'Linux', u'XML', u'Mssql', u'Crystal Reports', u'Delphi', u'Centura', u'Sybase', u'Java', u'Oracle']",248
248,"[u'Diploma In Project Management (Faculty Training In', u'Java Development', u'Equation Itp', u'Personal Development', u'Project Management', u'Microsoft Windows Architecture For Developers', u'Mastering Microsoft Visual Basic', u'Ibm As/400 Concepts And Programming Facilities', u'Ibm Rpg/400 Interactive Programming', u'Damelin Business College \u2013 Management Principles']","[u'ACS (Affiliated Computer Services)', u'Consistech', u'Delca Systems', u'Investec Bank', u'Investec Bank (Mauritius)', u'Jade Computer Consultants', u'Misys International Banking Systems (Dubai)', u'Misys - Solutions for Banking', u'SAPO / Isqm', u'WCS (Warehouse Control Systems)']",[],"[u'Technical Function Consultant', u'Contract Analyst Developer', u'Project Manager Analyst', u'Contractor Development Manager', u'Senior Developer', u'Programmer', u'Mainframe Operator']",Implementation Consultant,"[u'Professional Services Consultant', u'Technical Consultant']","[u'As400 Rpg Programming', u'Systems Implementation', u'Project Management', u'Visual Basic Programming']",249
249,"[u'Masters In Business Leadership', u'Hons (Information Systems)', u'Introduction To Sql', u'Uml/Etom', u'Advanced Course In Business And System Analysis', u'B.Sc Computer Science']","[u'ABSA Bank', u'School of Computing', u'South African Post Office (SAPO)', u'South African Revenue Service (SARS)', u'Telkom']","[u'Management', u'Project Management', u'Business Inteligence']","[u'Business Analyst', u'Developer Application Supporter Electronic Bill', u'Lab Assistant']",Senior Business Analyst,"[u'Business Analyst', u'Business Analyst']","[u'Research', u'Computer Skill', u'Business Analysis', u'Communication', u'Project Management', u'Leadership Skills', u'Organized']",250
250,[u'Master Of Business Admin Marketing'],"[u'Cellucom LLC', u'Dynacom LLC & AYA Global Communications', u'Firefly Group FZC', u'Shamal Media Services']",[],[u'Multimedia Developer Events'],Advertising Account Manager,"[u'Account Manager', u'Marketing Executive']","[u'Press Releases', u'Content Management', u'Online Marketing', u'Account Management', u'Presentation Skills', u'Marketing', u'Creative Communications', u'Management', u'Media Planning', u'Multimedia Development', u'Negotiation', u'New Business Development', u'Newsletters', u'Organizational Skills', u'pos', u'Web Site Production', u'Advertising', u'Brand Management', u'Customer Relations Management', u'Directing', u'Business Development', u'Sales', u'Media Buying / Planning', u'Microsoft Works']",251
251,[u'BSc Hons in Information Technology'],"[u'CodePlanet Systems', u'Dassettle Computers', u'Lewis Shipping and Clearance (Pvt)Ltd']","[u'Software Developer', u'Mobile Developer', u'Web Developer', u'Front-End Developer']",[],Software Developer,"[u'IT Technician', u'Junior Software Developer']","[u'System Analysis', u'Microsoft Office', u'Web Designing and Applications', u'Mobile App Development', u'Network Programming', u'API Integration', u'Programming', u'Databases', u'API Intergration', u'Adaptability', u'Teamwork', u'Verbal and Written Communication']",252
252,"[u'Bsc Computer science and information technology', u'Matric']",[u'2cana Solutions'],"[u'IT Developer', u'IT Development Manager', u'.NET C# Developer', u'Java Programmer', u'Oracle Developer', u'Unix Operator', u'Android Developer', u'Mobile Developer']",[],Oracle Developer,[],"[u'Computer Hardware repair', u'visual studio', u'Software Development', u'HTML Developer', u'CSS Developer', u'MySql', u'Java Developer', u'Javascript Developer', u'Oracle database and plsql Developer', u'PHP Developer', u'C# Developer', u'Oracle forms', u'Java', u'PLSQL', u'UNIX', u'Database design', u'Microsoft Office', u'Email']",253
253,[u'Diploma Computer Programming & Information Sys'],"[u'Entelligence', u'Ocean Basket', u'Pick n Pay', u'TAG Worldwide (The Adplates Group)', u'X - Pert Group']",[],"[u'QA Change Management', u'Project Manager', u'Web Developer', u'Waitress']",Project Manager,"[u'MBP Consultant', u'Project Manager']",[u'Project Management'],254
254,"[u'Certificate In Customer Service', u'Information Technology In Programming', u'National Certificate In System Development', u'Sun Certified Java Platform']","[u'Department of Social Development', u'Harvest Chartered Accountants', u'Modlin E-Learning']","[u'IT Developer and SAP Support(Internship)', u'Web Designer', u'Developer']",[],Web Developer,"[u'Assessment Supervisor', u'IT Developer and SAP Support']","[u'CSS', u'ASP', u'Bootstrap', u'JS', u'HTML5', u'JQuery', u'Developer', u'Sap Crm', u'Trainee', u'Customer Service']",255
